謎,ヒント段階,ヒント
1問目,1,"まず入ってすぐ、入り口の近くにあるウェルカムボードの写真を探してみましょう
披露宴が始まってしまった場合にはQRコードから写真を見てみてください
"
1問目,2,写真の状態を見ながら、スタートと書かれた場所からフローチャートを進めてみましょう
1問目,3,"写真からわかることは以下のことです
品川区で撮影されている
撮影日は2024年10月08日
持っているものはピザ"
1問目,答え,ミズヒキ
2問目,1,新婦が挙式から着ていた色は純白のドレスでした
2問目,2,一番右の白のドレスからあみだくじをスタートしてみましょう
2問目,答え,きょしき
3問目,1,受付で配られたプロフィールブックを読んでみましょう
3問目,2,Our memoriesという6枚の写真が書いてあるページに書いてあるようです
3問目,答え,スプラトゥーン
4問目,1,3枚の絵がありますが、左の絵を言葉にすると右側の言葉になるようです
4問目,2,左上の絵は、ドルを縫っている絵が、ヌードルに変換されているようです
4問目,3,左下の絵は、元を割いている絵が、削減に変換されているようです
4問目,4,右下の絵は、円を拾っているようです
4問目,答え,ひろうえん
5問目,1,"それぞれの絵の数はその絵の単語の文字数分あるようです
単語を特定した後に、矢印が指している場所を読むと答えが出るようです"
5問目,2,一番上は「おおたひとみ」を表しているようです
5問目,3,（旧）は旧姓を表しているようです
5問目,答え,たきしーど
最後の指示,1,それぞれの答えを埋めた欄の左上に書いてある数字の通りに最後の指示を埋めてみましょう
最後の指示,2,全て埋めると「キスのしたをみろ」となります
最後の指示,3,挑戦状とプロフィールブックさえあれば進めることができるという情報が最初の説明に書いてあるので、それを元にキスを探してみてください
最後の指示,4,キスとは、キスマークのことでした。挑戦状とプロフィールブックそれぞれにキスマークが一つずつ隠されているので探してみてください
最後の指示,5,"キスマークの真下の文字を読み上げてください
挑戦状は6文字、プロフィールブックでは5文字あります"
最後の指示,6,「二人にアイを」「誓うかきけ」というメッセージが出てきます
最後の指示,答え,新郎新婦に愛を誓うか聞いてみましょう